date,close,high,low,open,volume,foreign_net,trust_net,f_consec,t_consec,ma20,ma60,rsi,bias,atr,atr_pct,score,entry_ok,exit_ok
2026-04-01,1855.0,1855.0,1830.0,1840.0,35537379,8644073,633380,1,8,1846.063409423828,1806.1914934430804,47.13012716309646,0.48408903673363807,46.124274060543485,2.486483776848705,45,False,False
2026-04-02,1810.0,1865.0,1805.0,1865.0,25132417,-9249574,-192771,0,0,1841.8723510742188,1806.2583093475878,44.45100257769703,-1.7304321363872048,47.206155632984895,2.608074896849994,25,False,True
2026-04-07,1860.0,1860.0,1835.0,1850.0,17953562,5971798,420851,1,1,1840.679669189453,1807.1848902209051,52.22929936305732,1.049630260709875,48.285714285714285,2.596006144393241,40,False,False
2026-04-08,1950.0,1950.0,1925.0,1935.0,46515921,20104716,451659,2,2,1847.9739807128906,1809.6054853019068,57.54716981132075,5.520966223114839,51.785714285714285,2.6556776556776556,40,False,False
2026-04-09,1955.0,1955.0,1930.0,1945.0,31835073,224469,-103635,3,0,1853.5247924804687,1812.0287272135417,55.0,5.4747154141775844,50.714285714285715,2.594081110705152,65,False,False
2026-04-10,2000.0,2000.0,1970.0,1975.0,28637625,8534625,-175389,4,0,1856.8402404785156,1819.0313008626301,65.30612244897961,7.709858737474986,50.0,2.5,70,False,False
2026-04-13,1990.0,1995.0,1975.0,1985.0,28968757,-1222094,-4823390,0,0,1862.396746826172,1824.4551493326824,65.30612244897961,6.8515612149390215,49.642857142857146,2.4946159368269925,20,False,True
2026-04-14,2055.0,2055.0,2010.0,2015.0,39113405,19608150,615130,1,1,1872.2,1830.3808939615885,73.33333333333333,9.763914111740196,50.357142857142854,2.4504692387904066,20,False,True
2026-04-15,2080.0,2100.0,2060.0,2065.0,40343568,5069709,-138422,2,0,1884.25,1837.2216796875,74.54545454545455,10.388748839060634,50.0,2.403846153846154,20,False,True
2026-04-16,2085.0,2090.0,2055.0,2080.0,32038524,-1305961,306139,0,1,1895.0,1843.9796732584634,73.07692307692308,10.026385224274406,47.857142857142854,2.2953066118533743,5,False,True
2026-04-17,2030.0,2060.0,2030.0,2055.0,39260244,-9652631,-2185663,0,0,1901.25,1849.9040629069011,66.66666666666666,6.771860618014464,50.0,2.4630541871921183,20,False,True
2026-04-20,2025.0,2055.0,2025.0,2030.0,25407621,-3102934,660504,0,1,1910.0,1855.578995768229,68.46846846846847,6.020942408376963,49.285714285714285,2.4338624338624335,20,False,True
2026-04-21,2050.0,2075.0,2045.0,2050.0,25783476,2132940,696158,1,2,1920.5,1861.3383443196615,75.0,6.743035667794844,50.0,2.4390243902439024,20,False,True
2026-04-22,2050.0,2070.0,2040.0,2045.0,24762881,-2458339,-741909,0,0,1932.5,1867.0976928710938,77.88461538461539,6.0802069857697285,50.0,2.4390243902439024,10,False,True
